id,Ref_produit,Marque,Description
3205,AD399A-RFB,Hewlett Packard Enterprise,BL860C i2 Base Server
3206,C9200L-48T-4X-E-RF,cisco,CISCO Catalyst 9200L 48-port data 4 x 10G Network Essentials Remanufactured
3207,32104,Lindy,Lindy HDMI 2.0 EDID Emulator
3208,Z199_17_FR_CTO,APPLE,CTO/iMac 24 pouces Argent VESA/Puce M3 CPU8_GPU8_NE16/16Go/SSD_256GB/MK_GB_IMAC/MT2_IMAC/Ethernet/No_Software
3209,FM172025LL          ,CLARIS INTERNATIONAL,FILEMAKER RENEWAL ANNUAL USERS 
3210,RP000116497,Hewlett Packard Enterprise,Intel Xeon E5405 Quad Core
3211,L14940-001,HP,MB UMA i5-7200U 16GB W/FAN 
3212,W126883390,Lenovo,COVER Upper Case 
3213,RP000127176,HP,6450B/6550B System Board
3214,N124D,Dell,ASSY PWA PLN DISCRT BCP D630
3215,PWR-RGD-AC-DC-H-RF  ,CISCO               ,IE4010/5000HAZLOC P/S HIGH85-  
3216,22P4371-RFB,IBM,Fan Assembly 6846
3217,PRIHPJ3M71A,Prindo,ORIGINAL Prindo Cartouche d'encre Noir(e) PRIHPJ3M71A 981A ~6000 Seiten compatible avec HP J3M71A (981A)
3218,W127115709,Dell,DELL EMULEX LPE12002 8GB DUAL 
3219,AJ940A-RFB,HP,StorageWorks D2600 Disk
3220,W125891712,HP,Pavilion 400 Wireless Keybo
3221,F4-3200C14Q2-256GVK,G.Skill,G.Skill Ripjaws V - DDR4 - 256 GB Kit : 8 x 32 GB - DIMM 288-pin - unbuffered 
3222,W125789066,Lenovo,KnockOut-2 INTEL FRU MECH ASM 
3223,W126574974,Zebra,5 Y Z1C ESSENTIAL FOR TC56XX 
3224,L28579-001,HP,Heatsink Gen Slice Dm Ent16 A
3225,CT16G4DFRA32A       ,crucial             ,16GB DDR4-3200 UDIMM           
3226,FC8-0269,CANON,"BODY, CASSETTE"
3227,W128162794,Lenovo,COVER UpCase_KOR C82XF NFP AB 
3228,W125889161,Lenovo,FCcover BLT KBD SPA UK(LTN)BF
3229,AL1242300C-DE,BITDEFENDER,GravityZone Security for Linux Mail Servers 25 - 4
3230,U50049302,Sony,SHEET INSULATIVE SPEAKER BOX
3231,720269-001,HP,MB_HM77 740M 2G Pongo1.0
3232,S26391-F767-B861,Fujitsu,Keyboard (ARABIC/(FRENCH)
3233,2355196             ,LEXMARK             ,WARRANTY 1YR RENEW OS REPAIR   
3234,394017-001-RFB,HP,Power Supply Backplane
3235,65307121BC12A12     ,ADOBE               ,AFTER EFFECTS FOR ENTERPRISE 1U
3236,097-0388-001,Hewlett Packard Enterprise,CPU INTEL X5660 2.8G 6C 95W
3237,EAT-SR4POST50HD,Eaton,50U Heavy-Duty 4-Post SmartRack Open Frame Rack Organize and Secure Network Rack Equipment
3238,W125708651,Dell,"ASSY Cover Lighting, Top"
3239,393293121,Sony,Cabinet (Rear)
3240,397377-017-RFB,Hewlett Packard Enterprise,HDD 750GB 3.5 INCHSATA II 32MB
3241,P000602660,Toshiba,ID LABEL BLANK
3242,Z19R_,APPLE,"Apple iMac with 4.5K Retina display - Tout-en-un - M3 - RAM 8 Go - SSD 256 Go - M3 10-core GPU - GigE, 802.11ax (Wi-Fi 6E), Bluetooth 5.3 - LAN sans fil: 802.11a/b/g/n/ac/ax (Wi-Fi 6E), Bluetooth 5.3 - Apple macOS Sonoma 14.0 - moniteur : LED 24"" 4480 x 2"
3243,W125948622,Lenovo,Mars1.0 INTEL planar FRU 
3244,W126233246,Canon,"LABEL, COPY INHIBITED"
3245,90LM0560-B04170     ,asus                ,VA24EHF 24IN 1920X1080 16:9    
3246,RC2-3951-000CN,HP,"Cover, Card"
3247,Z1GE_72_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Silver/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/16 Go  mémoire unifiée/SSD 512 Go/Clavier Anglais américain/USB C 35W double/Logic_Pro"
3248,497656-001,Hewlett Packard Enterprise,"Cover, Top"
3249,BCM2-60A-CT-12PK,Raritan,Pack of 12x 60A Current
3250,W127277791,Panorama Antennas,LO PRO 4G/3G/2G WIFI PUCK1M SP
3251,TN3330              ,BROTHER             ,TN-3330 KIT TONER 3000 PG      
3252,0886B001,CANON,"Canon LUCIA PFI-101 Y - 130 ml - jaune - original - réservoir d'encre - pour imagePROGRAF iPF5000, iPF5100, iPF6000S, iPF6100, iPF6200"
3253,RAM-114DTMU,RAM Mounts,UNPK RAM ROD 2000 DECK &
3254,RG5-2433-000C-RFB,HP,Ops Panel
3255,90205379,Lenovo,C260 TS Rear Cover W/HDMI WHT
3256,F8XMF,Dell,ASSY CVR W/PWR BTN W/CBL 1764
3257,728066-001,HP,PCB_CONVERT BD
3258,RP001228539,Hewlett Packard Enterprise,"DL160G6 L5630 Cold Plug, 4GB"
3259,CON-PSUP-1121GAK9   ,CISCO               ,PRTNR SUP 24X7X4 802.11G AP    
3260,SG1251J,Makita,Makita SG1251J Coupe maçonnerie
3261,W126258130,Netgear,5PT GE Plus Switch W/POE+
3262,DG7GMGF0D7DB:0002:COM:DE,Microsoft CSP,Visio LTSC Standard 2021
3263,NUC10i5FNKN2/16G/500G/W10P,intel,Systemes/PC - Bureau/Intel Core i9
3264,W126543328,Samsung,ASSY DOOR 
3265,FRU45N2978,Lenovo,Keyboard (BULGARIAN)
3266,BX806956238R        ,INTEL               ,XEON GOLD 6238R 2.20GHZ        
3267,77-88884,OTTERBOX,"OtterBox React Series - Coque de protection pour téléphone portable - antimicrobien - polycarbonate, caoutchouc synthétique - clair - pour Apple iPhone 14"
3268,ESET-B-EPC-L1-AF,Eset,ESET Protect Complete Abonnement initial 1 an - 250 � 499 postes - Prix pour un poste.
3269,RP001234739,Hewlett Packard Enterprise,HOT SWAP CAPACITY UPGRADE
3270,RG5-6250,HPinc,POWER SUPPLY PCB
3271,A1547216B,Sony,Keyboard Unit(SE) (B)
3272,2381057P0001,OKIDATA,"FUJI CARD(24P), B41/B4250/B4350"
3273,W126241166,Canon,"PCB ASSEMBLY, MAIN, W/BATT"
3274,U1ZZ7E,hewlett packard enterprise,EPACK 3YR CDMR 1 BLADE MSFT BO
3275,988511742,Sony,LSI CPU CELERON M440 479PGA
3276,65297598BC14A12,ADOBE,"Adobe Illustrator CC for teams - Subscription Renewal - 1 utilisateur - gouv. - VIP Select - niveau 14 (100+) - 3 years commitment - Win, Mac - Multi European Languages"
3277,01514-001           ,AXIS                ,AXIS T94N01L RECESSED MOUNT    
3278,10K2165-RFB,IBM,NF 700MHZ/256KB Upgrade
3279,834589-171,HP,Keyboard (Arab)
3280,MMLE086-16GB,coreparts,16GB Memory Module
3281,EP-25,Canon,Toner Black
3282,6LA09193000,Toshiba,Guid S Sb
3283,45856201,OKI,Cover Assy - Top (ADF)
3284,11YE-4640,Konica Minolta,Frame Assy
3285,26K5845-RFB,IBM,300GB 10K 3G LFF SAS HDD
3286,Z1GF_123_FR_CTO,APPLE,"CTO/MacBook Air 15 M3 Starlight/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 1 To/Clavier Français/USB C 70W/Logic_Pro"
3287,40325001,OKIDATA,"BRACKET ASSY HV (BT), OP8c"
3288,15AG77020,Konica Minolta,Drive Connecting Gear 1
3289,W125895092,HP,TOUCHPAD FGB
3290,W126886978,Lenovo,BDPLANAR MB H 82T3 N4500 UMA 
3291,42W3009-RFB,IBM,PALMREST IBM T60 W/FP READER
3292,4400908450,Toshiba,Mylar Cst
3293,C11CK61404,epson hardware,EPSON MF ENCRE XP-5205
3294,RAM-B-166-SAM1U,RAM Mounts,UNPKGD RAM SUCTION MOUNT
3295,3127ZZBEN120BLZZ    ,BITDEFENDER         ,BITDEFENDER GRAVITYZONE        
3296,LIC-MS22P-1YR,cisco,CISCO Meraki MS22P Enterprise License
3297,RECT480S14I724512AK,LENOVO,Lenovo ThinkPad T480s 14 i7-8 24 Go 512Go Noir Win11PRO Reconditionné Grade A
3298,clrk26-4,"CIPHERLAB CO., LTD.","CipherLab RK26 series, 2D, SR, SE4750, 10.5 cm (4''), num. fonct., USB-C, BT, WiFi, 4G, NFC, Android, GMS terminal de collecte de donnée portable, 2D, imageur (distance standard, SE4750), diagonale d'écran, 10.5 cm (4''), résolution: 480x800 pixels, clavier (nombre de touches 28 keys, numérique fonctionnel), caméra (16 MP), connecion: USB-C, Bluetooth, WiFi (802.11ac), 4G (LTE), NFC, port microSD, Qualcomm Octa Core, 2,0 GHz, RAM: 4 Go, flash: 64 Go, Android (12), inclus: bloc d'alimentation (UE), Google Mobile Services, batterie, 4000mAh, indice de protection: IP65"
3299,CP45OSSECA12,epson,EPSON 4/5Y CoverPlus on site for SP-7900
3300,W127424588,Dell,CRD NTWK 13G BNDC INTEL QP 1G
3301,W125695539,Lenovo,"Panel housing,A540-27,T"
3302,0231A817,HPent,SW iMC DIG Log Probe Module  
3303,5B20H29162,Lenovo,Mainboard i7-4720
3304,W125950088,Lenovo,Upper Case ASM_LA 
3305,W126524138,Samsung,POWER 
3306,W126881437,Lenovo,COVER Upper Case 
3307,W125723738,Dell,"PWA Motherboard, UMA, Battery "
3308,4402345410,Toshiba,Plate Motor
3309,CON-PSUP-291116FX   ,CISCO               ,PRTNR SUP 24X7X4 CISCO         
3310,JY791A,ARUBA,HPE Aruba Mobility Master Hardware Appliance up to 1000 Devices - Périphérique d'administration réseau - 10GbE
3311,KB-7P1J2-OS         ,ORIGIN STORAGE      ,N/B KBD DELL LATITUDE 7414     
3312,H01L2E,HEWLETT PACKARD ENTERPRISE,"HPE Pointnext Tech Care Essential Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: Q2P71B, Q2P72B, Q2P72BR, Q2P73BR, Q2P74BR, Q2P76B, Q2P77B, Q2P78B, Q2P79B, Q2P79BR"
3313,W125789792,Lenovo,Jazz 2.0 AMD FRU MECH ASM 
3314,HPI-9G291ET#ABH,HP Printing & Computing,EliteBook 650 G10 i5-1335U/15/16GB/512GB QWERTY
3315,W128168185,NetApp,100GB SAS 6G LFF SSD
3316,12003246,Toshiba,Gear D
3317,FRU42W3147,Lenovo,LCD CVR 15
3318,W126197407,Lenovo,Mars2.0 AMD FRU BDPLANAR MB 
3319,6LA55832000,Toshiba,Wr.Rom Adm1.42 534
3320,U8ZF4PE,HP,"Electronic HP Care Pack Next Business Day Channel Remote and Parts Exchange Service Post Warranty - Contrat de maintenance prolongé - remplacement anticipé des pièces - 1 année - expédition - temps de réponse : NBD - pour LaserJet Managed MFP E52545dn, MF"
3321,39Y4173-RFB,IBM,X Series 366 System Board
3322,W126230986,Canon,"HOLDER, CABLE"
3323,CON-PSRT-SG35NAK9   ,CISCO               ,PRTNR SS 8X5XNBD CISCO SG350-10
3324,W127067720,MicroConnect,CAT6A UTP 15m Orange LSZH
3325,AD03800IAA5CZ-RFB,Hewlett Packard Enterprise,AMD ATHLON 64 X2 3800+ DC PROC
3326,42D0510-RFB,IBM,QLogic HBA 8Gbit PCI-E
3327,OP.FX.J8947-0351-00,Optoma,Projector Remote Control
3328,Q6N37A,Hewlett Packard Enterprise,A480 Controller BBU Carrier
3329,W126533560,Samsung,ASSY DOOR 
3330,CON-PSRT-WSC3652S   ,CISCO               ,PRTNR SS 8X5XNBD CISCO CATALYST
3331,D30143,DICOTA,"DICOTA MultiCompact Laptop Bag 15.6"" - Sacoche pour ordinateur portable - 15.6"" - noir"
3332,MSPP73283,CoreParts,Apple iPhone 6S Plus Power
3333,4401772360,Toshiba,Guide P Mnal U
3334,Z1AZ_45_FR_CTO,APPLE,CTO/MBP14 M3Max Silver/Puce M3 Max CPU14_GPU30_NE16 + 36 Go memory/SSD_2TB/KB_US/FinalCut_Pro_&_Logic_Pro
3335,C13T09R14010,Epson,Epson C13T09R14010 Piments XL BK Bli
3336,42W2522-RFB,IBM,Thinkpad X60 Fan Assembly
3337,4843300741,Toshiba,J Hnc2 2.5P16Ds
3338,726116-B21,726116-b21,HPE 8GB microSD EM Flash Media
3339,TCHB215PG           ,THULE               ,CHASM BACKPACK 26L - POND GRAY 
3340,310306-001-RFB,Hewlett Packard Enterprise,EVO N1020V 2.4GHZ PROC
3341,D4L77EAR#ABU-RFB,Hewlett Packard Enterprise,HP Pav TS 15-b130sa Renew
3342,W125784395,Sony,FIXED HIGH FREQUENCY INDUCT
3343,CM8065802483301,Intel,"Core i7-5775C, Quad Core,"
3344,W126102181,Zebra,3 YR Z1C ESSENTIAL EC50XX 3 
3345,W126262126,Aten,18-Outlet 1U Extended Depth 
3346,868841-001-RFB,Hewlett Packard Enterprise,SPS-DIMM 8GB PC4-2666V-R 1GX8
3347,W126542711,Samsung,"SVC-HOLDER POWER CORD,DW4000RM"
3348,W126453020,Lenovo,MECH_ASM C-ASM KBD EE CNY CP S
3349,460327500,Sony,"LOCK,SCREW"
3350,2356944P,lexmark,LEXMARK MS911 Renouvellement 1 an du Service de garantie sur site
3351,41X0581,Lexmark,Doors Mp-Fin
3352,DA3-8331,CANON,CAPOT
3353,6B.G60N5.011,Acer,Cover Upper W/Kb Cz/Sk W/O Hdd
3354,RP000095217,Hewlett Packard Enterprise,Intel Xeon P4 CPU 3.06GHz
3355,MSP-HE1DE-MOBF      ,STG                 ,TRELLIX HELIX ENT ED (DE) MO   
3356,DPVECE-DT-BF        ,STG                 ,TRELLIX DLP PREVENT SW 1:1BZ   
3357,41L5215-RFB,IBM,390W RS6000 PSU
3358,W128161097,Lenovo,COVER Upper Case ASM_HIN 
3359,907680-041,HP,Tcover Nsv Tp Kb Ahs Isk Hdd G
3360,CON-PSRT-ISR4351S   ,CISCO               ,PRTNR SS 8X5XNBD CISCO ISR 4351
3361,CON-SNT-UCSXEFXD,cisco,CISCO SNTC-8X5XNBD XCellerate offer for Fabric Interconnect
3362,FX6500PPM-AT-AG     ,STG                 ,1YR PLATINUMPLUS SUPPORT       
3363,H2YX5E,hewlett packard enterprise,EPACK 3YR PC 24X7 VMC-TACT8 VI
3364,H34CME,hewlett packard enterprise,HPE Aruba Foundation Care 5 Years Next Business Day Exchange 9240 C Gateway Service
3365,4400664130,Toshiba,Gr 10S023 85 06
3366,Z1G8_189_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Midnight/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 512 Go/Clavier Français/USB C 35W double/FinalCut_Pro_&_Logic_Pro"
3367,FRU39J8364,Lenovo,Planerw Pov
3368,1025350,Epson,EXTENSION SPRING 15.7
3369,W125695492,Lenovo,LCD Cover L 81A8 UHD IG
3370,E0-08474000,Toshiba,Nrw10 10A Y Tk1419
3371,W125948187,Lenovo,MB L 82KD R55500U_UMA_8G_NOK
3372,L09533-001,HP,Lcd Cable 14 - Non Ts
3373,W125671396,Lenovo,Skids1.0 INTEL FRU BEZEL
3374,10026763            ,zebra               ,LABEL SYNTHETIC 45X13MM TT RFID
3375,2P-N156HGE-EAB C2,2-Power,15.6 1920X1080 Full HD LED Matte w/IPS
3376,RENEWCAREPROX12,D4B CARE,D4BCare - Contrat de maintenance prolongé - remplacement - sur site - temps de réponse : jour suivant
3377,W125898645,Bachmann,"Spiral cable CS-YMH11Y-J 5x1,5"
3378,DA3-5688,CANON,JOINT
3379,W126944903,Lenovo,MECH_ASM KBD CCvr ILD 
3380,W126199500,Lenovo,Mars2.0 AMD FRU MECH_ASM 
3381,UH2793001,Brother,HEAT ROLLER HL 1260/1660
3382,BROTN6300,BROTHER,BROTHER toner noir HL1240/50
3383,2374974,LEXMARK,M3350 3yr Renew Parts & Labor w/Kits
3384,PRTSCLTK404SG,Prindo,ORIGINAL Prindo Toner Noir(e) PRTSCLTK404SG Green ~1500 Seiten
3385,W126242000,Canon,"PLATE ASSEMBLY, MAIN BASE"
3386,4408327440,Toshiba,Plate Frame
3387,C0-03734000,Toshiba,S21Me3
3388,LUMLLS030BRWLNW,NewGarden,New Garden Lola Slim 30 Lampe de jardin déco
3389,W126883721,Lenovo,COVER Upper Case 
3390,81M13SA1-,NEC,KEY PWB ASSY NP1000G/NP2000G
3391,DC389B-RFB,Hewlett Packard Enterprise,256MB 333MHz DDR
3392,EPES1WE1E-AT-EF     ,STG                 ,TRELLIX ENDPOINT SEC ES ED     
3393,2P-496112-001,2-Power,4GB DDR2 800MHz SoDIMM
3394,672646-133,HP,Hp Ps 2 Kb Me Port
3395,4472702,fellowes,FELLOWES Archive Box A4+ 10cm Pack Of 20
3396,W126706545,Lenovo,COVER Upper Case ASM_BRL 
3397,NX5600DOFGAEAT-AF   ,STG                 ,1YR SUBSCRIPTION TRELLIX LEGACY
3398,E5E78AA#ABB,hp,Wireless Keyboard K2500 - I
3399,12014060,Toshiba,Thermal Switch
3400,178472611,Sony,"CONNECTOR, FFC 4P"
3401,BX80644E52640V3,Intel,XEON E5-2640V3 2.60GHZ
3402,W127219770,Fujitsu,Cop Rx300S7 Assy
3403,V000948150,Toshiba,Screw M3.0 3.0Mm
3404,W127366352,IBM,1 to 2 frame X-Track Cable
3405,RP001231523,Hewlett Packard Enterprise,"HDD 120GB 6G SATA 2,5"" SSD"
3406,Z1AK_1069_FR_CTO,APPLE,CTO/MBP16 M3Pro Silver/Puce M3 Max CPU14_GPU30_NE16 + 96 Go memory/SSD_4TB/KB_NL/FinalCut_Pro_&_Logic_Pro
3407,1242B005,CANON,"Canon EF-S - Objectif à zoom - 17 mm - 55 mm - f/2.8 IS USM - Canon EF/EF-S - pour EOS 1000, 40, 450, 50, 500, 7D, Kiss F, Kiss X2, Kiss X3, Rebel T1i, Rebel XS, Rebel XSi"
3408,ACPSOURISCESTUS330,ACER,Souris Gamer PREDATOR CESTUS 330 PREDATOR NOIR CESTUS 330 USB - C ble 1.80m - op
3409,RP001228072,Hewlett Packard Enterprise,Cable 10GBE SFP+ 5M Copper
3410,4537333701,Konica Minolta,Torsion spring
3411,725286-001,Hewlett Packard Enterprise,Hswl 3.6Ghz 95W E3 1280
3412,00C285400AR0,Ariete,Ariete Bouilloire électrique Moderna
3413,W128161118,Lenovo,COVER Upper Case ASM_BUL 
3414,WF01043516,TREND MICRO,"Trend Micro Worry-Free Services with Endpoint Detection and Response Add-On - Licence d'abonnement (1 an) - 1 utilisateur - hébergé - volume, gouv. - 101 à 250 licences"
3415,KAI DM706W,KAI,"KAI Shun blanc Couteau de cuisine, 20 cm"
3416,DMOECE-AT-BG        ,STG                 ,1YR SUBSCRIPTION WITH 1YR      
3417,768585501,Sony,+Bvtt 2X10 (S)
3418,55035,Dell,HD 2G S F3 1IN UWIDE WD 80P A2
3419,Q6651-60331,HP,Connector Cover Left Serv
3420,W128101161,Lenovo,COVER Upper Case ASM_FRA 
3421,ST9300653SS-RFB,Seagate,300GB 64MB 15K SAS 6Gb/s
3422,Z1BE-ZT51-1C0       ,ZEBRA               ,1YR Z ONECARE ESS 30DAY ZT51   
3423,W126885092,Lenovo,COVER UpperCaseASM_SPA C82SD 
3424,6LA03083000,Toshiba,Shutter Hop N
3425,W126475718,Lenovo,TP ESSENTIAL BACKPACK
3426,15ANR72100,Konica Minolta,Assist Motor Assy
3427,H2AP8E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Next Business Day Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 9x5 - temps de réponse : NBD - pour P/N: JL256A#ABB, JL256A#ACE, JL256AR, JL2"
3428,47.TPN02.003,Acer,RUBBER.FOOT.R
3429,S26391-F2166-L200,Fujitsu,UMTS UPGRADE KIT
3430,06H4018-RFB,IBM,3X3 PCi Mca Riser Card-6875 76
3431,1622945,Epson,Label Model Name
3432,CON-PSOP-WAVE594K   ,CISCO               ,PRTNR SUP OS 24X7X4 WIDE AREA  
3433,QH7-8512,CANON,"IC, BJ-LICC2, LINEAR       <5>"
3434,EXT.NZ9264_1DE5PS,Dell,Garantie vers 5 ans ProSupport
3435,Z1BC_1094_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Midnight/Puce Apple M3 avec CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs + 24 Go de mémoire unifiée/mémoire unifiée selectionnée avec le processeur/SSD 256 Go/Clavier Français/USB C 70 W/FinalCut_Pro"
3436,W128168119,HP,920GB SAS 6G SFF SSD for 3PAR 
3437,DOCK.4X11N40212/LEN,Lenovo,Lenovo - Station d�accueil compacte de voyage USB-C HDMI  - 65W Garantie 3 ans.
3438,F.01U.299.030,BOSCH,CCS1000 Pupitre avec Micro col de cygne 30CM #VALUE!
3439,65297791BA04B12     ,ADOBE               ,DREAMWEAVER FOR TEAMS MULTIPLE 
3440,P1080383-725        ,ZEBRA               ,KIT REPLACEMENT DISPENSER      
3441,WECOQTPUI6+-N,we,***WE Coque de protection TPU APPLE IPHONE 6+ / 6S+ Transparent
3442,44209909000,Toshiba,Plate
3443,W126077765,HP,MOTOR BLDC 600 3000 1700 1200 
3444,W125643898,Toshiba,STPR PICK R
3445,65315269BATGA12     ,ADOBE               ,ADOBE SIGN FOR ENTRPS TIER G   
3446,CON-PSRT-CBS35GIN   ,CISCO               ,PRTNR SS 8X5XNBD CBS350 MANAGED
3447,W127840908,Dell,"Riser Config 3, 2 x 16 LP,"
3448,736339-001,HP,PCBA AUDIO BD
3449,90007027,Lenovo,C260 W8S J2900 W/HDMI UMA MB
3450,H642P,Dell,DOOR FLAP I/E 9U ML6K FRU
3451,Z1AJ_1057_FR_CTO,APPLE,CTO/MBP16 M3Pro Silver/Puce M3 Max CPU14_GPU30_NE16 + 36 Go memory/SSD_512GB/KB_ES/FinalCut_Pro_&_Logic_Pro
3452,36506210,KYOCERA,"FRONT GUIDE,TRANSFER"
3453,FRU00JT631,Lenovo,Kybd Bg
3454,W127219972,Fujitsu,"Cpu Xeon E5-1620 3,6Ghz 130W"
3455,K3W6P,Dell,ASSY CBL WEBCAM 5475
3456,W128152808,Dell,"Battery, 52WHR, 4 Cell, "
3457,W126538656,Samsung,ASSY CONNECTOR 
3458,4407551830,Toshiba,Se P Emp L
3459,40X0261,LEXMARK,X36x SVC Bezel H-Russian 
3460,FC0-1664,CANON,"STOPER, PAPER"
3461,FRU00YE302,Lenovo,6M Cable
3462,90AB1TNK-MBD100     ,ASUSTEK COMPUTER    ,BNUC11TNKV50000/99A6X5//TIGER  
3463,A1RJ821900,Konica Minolta,Guide Plate /A
3464,LIC-MX67-SEC-1YR,cisco,CISCO Meraki MX67 Advanced Security License and Support 1 Year
3465,HG5-1187,CANON,PAPER TRAY COVER >030NY
3466,H8MC8E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 24x7 - temps de réponse : 4 h - universitaire, volume, Tier 2, pour les particuliers"
3467,A161M50A00,Konica Minolta,APS Photoreflector
3468,Z1RS-MC40XX-11D3,Zebra,"1 YEARS ONECARE SELECT,"
3469,EY8-0033,CANON,SERVICE MANUAL TP-6
3470,637068-001-RFB,Hewlett Packard Enterprise,400GB 3G SATA QR 2.5IN MDL SSD
3471,7090043790290,HUDDLY,Huddly - Câble USB - USB type A (M) pour 24 pin USB-C (M) - USB 3.1 Gen 1 - 5 V - 2 A - 60 cm - noir - pour IQ
3472,W125675932,Lenovo,UpperCase L 81EVW/KB COP
3473,W127120576,Dell,DELL INTEL XEON QC CPU 
3474,W125672825,Lenovo,Ariel INTEL Upper Case 
3475,W126227339,Canon,SEPARATOR UNIT
3476,FB2-5380,CANON,"PAD, SEPARATION >030YY"
3477,W125646055,HP,Kit-Job Separator WG
3478,4400664120,Toshiba,G08H 40/G08H 24
3479,TPL-TL-SG3210,TP-Link,JetStream 8-Port Gigabit L2+ Managed Switch with 2 SFP Slots
3480,44W3392,IBM,ServeRAID M5200 Series 1GB
3481,961-000447,Logitech,"Circle 2, UK Plug Mount"
3482,FCRFSN1GVXBQQ       ,WITHSECURE          ,F-SECURE ELEMENTS EPP FOR      
3483,329369101,Sony,"Sheet, Keypad"
3484,W126225139,Canon,ENGINE CONTROL PCB ASSEMBLY
3485,RP001227137,Hewlett Packard Enterprise,"SOS,160GB SATA 5,400 RPM,"
3486,12047345,Toshiba,Capacitor  Film 0.47Mf 125V
3487,2152743,Epson,Motor Assy Cr
3488,JC39-00887A,HPinc,"HARNESSFCOVEROPEN;SCX5235ND,UL10272,    "
3489,RB2-8280,CANON,"FLAG, CASSETTE PAPER SENSOR"
3490,RP001236742,HP,Low Voltage PSU Fan
3491,4XB7A82289,LENOVO,"Micron 5400 MAX - SSD - Mixed Use - chiffré - 480 Go - échangeable à chaud - 2.5"" - SATA 6Gb/s - AES 256 bits - Self-Encrypting Drive (SED), TCG Enterprise SSC - pour ThinkSystem SR250 V2 7D7Q (2.5""), 7D7R (2.5""), ST250 V2 7D8F (2.5""), 7D8G (2.5"")"
3492,EPS-CP05RTBSH763,Epson,05 Years CoverPlus RTB service for EB-U04
3493,MG1-5039-020,Canon,MG1-5039-020 910400019300 ADAPTOR DC24V
3494,4247104001,Konica Minolta,Pwb-Pu Mf-1500
3495,J762N-REF,dell,"Dell HDD 600GB 3.5"" 15K SAS 6gb/s"
3496,W127372394,EMC,RAILKIT SLIDING A2000
3497,CRD-TC51-5SCHG-01,Zebra,TC51/56 5-slot Charge only
3498,KF426C16BB2A/16     ,KINGSTON            ,16GB DDR4-2666MT/S CL16        
3499,AIO24P/I9-13900/16G/1To/NT/CS,ecs elitegroup ipc,Systemes/PC - All In One/All In One - 24p/Professionnel
3500,MSP6588N,CoreParts,Long Life OPC Drum
3501,SRV1KI,APC,APC Smart-UPS SRV 1000VA 230V
3502,65297727BA04B12,ADOBE,"Adobe After Effects CC for teams - Nouvel abonnement - 1 utilisateur - Value Incentive Plan - Niveau 4 (100+) - Win, Mac - Multi European Languages"
3503,8680I102-2,Honeywell,Wearable min Mobile Adv. 1D 2D
3504,W125691985,Lenovo,LCD Cover B 20RS MGR W/tape
3505,W125892725,HP,MBD FLUTE R CFL Q370 UMA AiO 1
3506,VSCYWM-AB-FA        ,STG                 ,TRELLIX VSE-SERVER EXTEN WIN   
3507,W127661316,Dell,HD 3T ES 7.2K 3.5 T-HR2 E/C
3508,W126520461,Samsung,IC-POWER 
3509,W126347618,Brodit,Active holder for fixed 
3510,BN39-01899A,Samsung,IR Blaster Cable
3511,CON-PSJ7-SPLB24A1   ,CISCO               ,UCS PSS 24X7X4 OSUCS B200 M4   
3512,W125646259,HP,IF Alignment Front 
3513,44204461000,Toshiba,Coupling Btl U  T
3514,BX8071514500,Intel,Intel i5-14500 24MB 14/20 2.6GHz Box
3515,W125863457,Sony,SOV36/EXPBA
3516,W126273843,Lenovo,BDPLANAR 
3517,400-20393,dell,"Dell HDD 2TB 3.5"" 7.2K SAS NL 6gb/s HP"
3518,578368-001,HPinc,"SPS-PCA,ARIES RV710D2R4350HD512MBLPBRCKT"
3519,2P-NV156FHM-N4J V3.0,2-Power,15.6 1920x1080 FHD LED IPS 40 Pin Matte
3520,27UL550P-W.AEU,LG,LG Monitor 27UL550P-W 27UL550PW (27UL550P-W AEU) (27UL550PW AEU) LGAEU) LG AEU)
3521,6LH06697000,Toshiba,Belt Exit F
3522,2594ZZBSN360ALZZ    ,BITDEFENDER         ,BITDEFENDER GRAVITYZONE        
3523,Z1AJ_1062_FR_CTO,APPLE,CTO/MBP16 M3Pro Silver/Puce M3 Max CPU14_GPU30_NE16 + 36 Go memory/SSD_512GB/KB_FR/FinalCut_Pro
3524,W127053283,Yealink,Yealink Video Conferencing - 
