part,fournisseur,description,marque,prix,quantity
PY9-00019,EET,Keyboard and Mouse Bundle UK,microsoft,34.2,14
31730022400,ecp,Peripheriques/Hauts parleurs/HP Sans Fil,genius,73.76,1
UAP-AC-PRO,Travion,Unifi AP-AC Pro - Radio Access Point,ubiquiti networks,26.0,26
H02T5E,techdata,"HPE Pointnext Tech Care Essential Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: R0R67A, R0R67AR",hewlett packard enterprise,6432.0,9876
SM-R177NZKADBT,Difox,Samsung Galaxy Buds2 Graphite,samsung,119.88,1
PS1USI              ,Ingram,USI CHROMEBOOK STYLUS PEN WORKS,v7                  ,23.39,19
A1736-0000-1055,Also,ALSO AASTRA  Extension papier Mitel 36 touches pour gamme Mitel 67xxi,snom technology,68.42,4
CS-CPRO-WMK=,techdata,Cisco - Kit de fixation pour vidéo conférence - montable sur mur - pour P/N: CS-CODEC-PRO+,cisco,219.08,1
RJ4230BZ1,West Cost,BROTHER IMP THERMIQUE 104MM RJ-4230B,brother hardware,487.0,11
C13T08784010,West Cost,EPSON ENCRE N MAT,epson supplies,9.0,96
HP5R4E,techdata,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 24x7 - temps de réponse : 4 h - universitaire, pour les particuliers - pour P/N: JH692A#ABG, JH692A#ARE, JH692A#ARM, JL579A#ABB, JL579A#",hewlett packard enterprise,3445.0,9876
IB-200T-C3,Siewert & Kau,ICY BOX IB-200T-C3 - storage enclosure - Type-A/Type-C combi-cable - SATA 6Gb/s - USB 3.2 (Gen 1),raidsonic,13.34,7
06017B3000,Difox,Bosch GWX 10-125 Professional Meuleuse d'angle,bosch,90.76,4
TS128GJF700,Also,TRANSCEND 128Go JETFLASH 700 USB 3.0 black,transcend,11.43,10
DGS-1210-24/E,terra computer,"D-Link Switch DGS-1210-24/E 24xGBit/4xSFP 19"" Managed",d-link,107.7,22
C245_EU001C,Difox,Bea-Fon C245 champagne,beafon,35.3,3
DELL-E2423H,Siewert & Kau,"Dell LED-Display E2423H - 61 cm (24"""") - 1920 x 1080 Full HD",dell,78.15,14
800.2969,Secomp,BACHMANN Module Citel SPD Type 3 Rechange PS Citel pour 3 phases 16/32A,bachmann,50.89,2
5WS7A67528,macle,LENOVO FOUNDATION SERVICE 3Y VOS NBD,lenovo,800.0,50
2P-LA90PS0-00,psaparts,0, ,2.0,22
HV2M4E,techdata,"HPE Foundation Care 24x7 Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: JL679A, JL679A#ABA, JL679A#ACC, JL679A#ACD, JL67",hewlett packard enterprise,833.0,9876
4471C006,Kosatec,T Canon MAXIFY GX7050 Tintenstrahldrucker 4in1/A4/LAN/WLAN/DADF/Duplex,canon,536.31,6
FCC7BMSHF-0.5M/W    ,Ingram,CAT 7 S/FTP LSZH PATCH CABLE - ,mcl samar micro cabl,2.2,1
78-52526,techdata,OtterBox Cable USB A-Lightning 1M White,otterbox,17.99,20
C13S050035,ecp,"Consommables/Cartouches, Toner, Encre/Toner et Tambour/Toner Epson",epson,85.0,1
2Z624F#B19,Kosatec,L HP LaserJet Pro MFP 4102FDW S/W-Laserdrucker 4in1 40S./Min. A4 LAN WLAN ADF Duplex,hp,396.78,12
EDGE-500IRM1U,techdata,Vertiv EDGE - Onduleur (rack-montable) - CA 230 V - 450 Watt - 500 VA - 9 Ah - USB - connecteurs de sortie : 6 - 1U,vertiv,601.0,4
7S0L000QWW,Also,LENOVO Veeam Backup & Replication Enterprise Public Sector with 5 years of production support included,lenovo,2986.69,100
CR6080-SC100F4WW,Jarltech,Zebra charging/communication station,zebra,184.8,8
77-86539,PCA,OtterBox Coque Symmetry Clear Samsung Galaxy S22 - clear,otterbox,12.96,17
U3LK4E,macle,EPACK 3YR CDMR 1 ADV ZL MOD FC,hewlett packard enterprise,2483.0,50
R60000027,Difox,GEDORE red Cliquet rÃ©versible 2K 1/2,gedore,25.53,4
2749600-511,Siewert & Kau,TimeCard Premium Transponder MIFARE DESFire EV3 RFID tag - 5 pieces,reinersct,71.28,5
HDWT380UZSVA,techdata,"Toshiba S300 Surveillance - Disque dur - 8 To - interne - 3.5"" - SATA 6Gb/s - 7200 tours/min - mémoire tampon : 256 Mo",toshiba,313.56,108
DN-95401,Siewert & Kau,DIGITUS DN-95401 - power strip,digitus,21.29,218
CIXMOU36AFNCAA,Tarox,Central Intercept X Mobile 200-499U 36M,sophos,0.0,50
CMFVYGTX3C-256GB,Siewert & Kau,CORSAIR USB flash drive Flash Voyager GTX - USB 3.1 - 256 GB - black,corsair,60.76,9
HV9B0PE,techdata,"HPE Pointnext Tech Care Critical Service Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: 470065-117, 470065-335, 470065-464, 483880R-B21#AKM, 483880R-B21#AR",hewlett packard enterprise,3021.0,9876
R85990NM802,Also,HP Poly Service Reactivation fee Medialign 65 GS500 Excludes coverage on monitorfor product more than 1y out of support coverage,hp inc.,1507.97,100
833,Difox,Wiha 320NK6 SoftFinish electric,wiha,29.56,5
CYMGM,psaparts,0,09/01/24,0.0,58
DS420+/2G/32T-WDRED,ecp,Reseaux/Boitier NAS avec Disque/,synology,1317.43,1
71792,Difox,LEGO Ninjago 71792 Le Robot bolide transformable de Sora,lego,33.03,2
UA6B2E,techdata,"Electronic HP Care Pack Next Business Day Hardware Support with Defective Media Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 2 années - sur site - 9x5 - temps de réponse : NBD - pour ProBook 640 G1, 640 G2, 640 G5, 640 G8, 64X G",hp,37.0,9876
BS-10B-300,ecp,Integration/2- Boitier/3- MINI TOUR,chieftec,84.62,1
XN-MICRO-USB-USBA   ,Ingram,MICRO-USB 2.0 TO USB 2.0 TYPE A,extreme networks    ,7.67,3
OS2260-P24-EU,Also,ALCATEL LUCENT ENTERPRISE OS2260 WebSmart 24p PoE Gig - EU cord,alcatel-lucent enterprise,383.97,29
CFQ7TTC0MJ3X-0001-1J1J,terra computer,CSP Teams Essentials and Teams Phone with international calling [1J1J],microsoft,333.53,100
FWCRC,convena,DELL FWCRC power adapter/inverter Indoor 240 W B..,dell,73.16,37
MV0RH,MCA,"Notebook 14"""" Dell Latitude 7450",dell,1338.0,27
PLASMA-M2250SILVER,Also,NEOMOUNTS Motorised Mobile Floor Stand - VESA 200x200 up to 800x600,neomounts by newstar,693.66,3
40X8436,EET,Maintenance Kit 220V,lexmark,251.9,8
39607804,EET,IFBD-HE07 Ethernet Interface,star micronics,95.7,18
P-U95H7PV,Also,HP Poly 1yr Poly+ Onsite FRURAD Group 700 720p HD Codec Only For Commercial use-Certain Restriction may apply-MSRP,hp inc.,2716.99,100
3001699,Jarltech,"Zebra Z-Perform 1000T, rouleau d'étiquettes, papier normal, 148x210mm",zebra,23.45,128
SU945A,EET,Toner/MLT-D204U,hp,182.9,5
P-81050,Difox,Makita P-81050 Jeu de 99 embouts de vissage,makita,22.64,10
PY927,EET,"500GB S2, 7.2K, 3.5'', 16M, ",dell,130.2,4
OVA148ZZ,techdata,Belkin Verre Privacy pour Iphone 15 Plus/ 14 Pro max,belkin,24.99,1
XQDQ54C0B.EUK,Difox,Sony Xperia 1 V noir goji,sony,906.09,1
14005-01360800,EET,LCD Cable,asus,9.6,8
U3PM5E,macle,EPACK 1YR 24X7 HP MSR920 RTR,hewlett packard enterprise,110.0,50
C9351AE#UUS,Also,HP 21 original Ink cartridge C9351AE UUS black standard capacity 5ml 190 pages 1-pack,hp inc.,19.35,47
GH82-31201B,convena,Samsung A346 A34 LCD Silver,samsung,57.29,85
11325-03-20G,Siewert & Kau,VGA Sapphire RX7900GRE 16GB Pure Gaming OC White,sapphire,512.35,10
JL083A,Ikonic,Aruba 3810M/2930M 4SFP+ MACsec,jl083a,0.0,4
N428-AC-BK-N-PU,Imcopex,Kobo Sleepcover Libra Notebook Black Schwarz (N428-AC-BK-N-PU) (N428ACBKNPU),kobo,22.9,100
U04TME,techdata,"Electronic HP Care Pack Advance Exchange Service - Contrat de maintenance prolongé - remplacement anticipé des pièces - 2 années - enlèvement et retour - 9x5 - temps de réponse : 4 - 7 jours ouvrés - pour LaserJet Tank MFP 1005, MFP 1602, MFP 1604, MFP 26",hp,16.5,9876
DCG180ZXK,Difox,Makita DCG180ZXK cartouche avec batterie,makita,200.31,10
R0G19AAE,macle,Veeam Cloud Conn Ent VM  ESTOC,hewlett packard enterprise,48.0,50
B-EPC-R2-AB,Also,ESET Protect Complete Renew 2 years 11-25p,eset,64.35,100
98 54,Difox,KNIPEX Couteau pour CÃ¢ble,knipex,9.09,5
2P-LP156WFD-SPH2,psaparts,2, ,2.0,69
U7EK3E,techdata,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 24x7 - temps de réponse : 4 h - pour P/N: JH325A#ABB, JH325A#B8X, JH325AR",hewlett packard enterprise,530.0,9876
CA-9011238-EU,Copaco,HS80 RGB USB Headset White - EU,corsair,83.9,6
S66KA2 10X15,Difox,Deknudt S66KA2 Galerie   2x10x15 bois noir avec Passepartout,deknudt,8.38,3
01AX415,EET,Keyboard (SPANISH),lenovo,52.5,4
L04635-001,EET,LCD Back Cover Silver Color,hp,60.6,12
5D10K81086,EET,LCD Panel HDT AG S NB,lenovo,154.8,8
DS-2CD2745FWD-IZS(2.8-12MM)(B),EET,DS-2CD2745FWD-IZS(2.8-12MM)(B),hikvision,152.15,4
21.99.1940,Secomp,"Cordon VALUE S/FTP(PiMF) Cat6A/Cl.EA vert, 0,5m",value,0.99,161
HA9J5E              ,Ingram,EPACK 1YR FC NBD EXCH AP-318 SV,hpe                 ,61.61,9999
3813460,Siewert & Kau,Intenso High - solid state drive - 960 GB - SATA 6Gb/s,intenso,48.99,38
7523720009,Difox,Beko RCSA366K40XBN,beko,345.87,1
76959,Imcopex,LEGO Jurassic World Triceratops-Forschung TriceratopsForschung (76959 ),lego,38.95,49
V-UTP605S-SLIM,EET,U/UTP CAT6 5M Black Slim,microconnect,3.0,105
WL-KK-001,convena,ProXtend Mini Cable Lock with Key,proxtend,11.28,100
21.08.2255,Secomp,"LEONI Câble FO 50µm OM4, LC/SC 5m Connecteurs Suhner",leoni,24.5,4
P86830312,Also,HP Poly 3yr Poly+ Rove B4 Multi Cell DECT Base Station,hp inc.,27.52,100
JL259A,terra computer,HP Switch 2930F-24G 24xGBit/4xSFP JL259A,hewlett packard,1249.0,1
TAPO L920-5,Also,TP-LINK Smart Wi-Fi Light Strip,tp-link,31.73,9
10006998K,Jarltech,"Z-Band Direct, Infant, white",zebra,308.08,11
106R02744,Siewert & Kau,Xerox WorkCentre 6655 - High Capacity - cyan - original - toner cartridge,xerox,45.9,3
HP-EB840-G2-I5-8,Ikonic,HP EB840 G2 i5 8GB No HDD,hp-eb840-g2-i5-8,0.0,1
Q2M74AAE,techdata,Micro Focus Data Protector Starter Pack - Licence + Assistance 24 heures sur 24 pendant 1 an - ESD - Win,novell,1475.0,9876
AS5304T/4G/40T-IW,ecp,Reseaux/Boitier NAS avec Disque/,asustor,1592.58,1
CFQ7TTC0HM0T-006Q-1J1M,terra computer,CSP Dynamics 365 e-Commerce Tier 1 Band 3 Overage (Education Student Pricing) [1J1M],microsoft,135.09,100
2P-655410-150,psaparts,23,03/01/24,2.0,7
P-E19358112,Also,HP Poly 1yr Elite RMX 4000 MPMRx System Resource License Pack - 60x1080p30/120x720p/240xSD resource licenses,hp inc.,88128.16,100
U4DA2PE,macle,EPACK 12 PLUS 4H EXCH 10508 SW,hewlett packard enterprise,11104.0,50
5T10S73250,EET,FRU TAPE PANEL ADHESIVE,lenovo,19.8,32
01YP680,EET,Keyboard (US),lenovo,84.6,4
DELL-P2425HWO,techdata,"Dell P2425H - Sans socle - écran LED - 24"" (23.81"" visualisable) - 1920 x 1080 Full HD (1080p) @ 100 Hz - IPS - 250 cd/m² - 1500:1 - 5 ms - HDMI, VGA, DisplayPort - BTO - avec 3 ans de service matériel de base avec Advanced Exchange après diagnostic à dis",dell,139.0,33
TL-WA1201           ,Ingram,WI-FI ACCESS POINT AC1200 POE  ,tp-link             ,40.0,33
UC2Y7PE,techdata,Electronic HP Care Pack Next Business Day Parts Exchange Post Warranty - Contrat de maintenance prolongé - remplacement anticipé des pièces (pour composant géré seulement) - 1 année - expédition - 9x5 - temps de réponse : NBD - pour Color LaserJet Enterpr,hp,534.0,9876
207576-03,macle,POLY BLACKWIRE 5220 ON-EAR HEADSET,poly,74.0,50
P-E19357114,Also,HP Poly 1yr Elite Onsite RMX 4000 MPMRx System Resource License Pack-45x1080p30/90x720p/180xSD resource licenses,hp inc.,92330.73,100
DN-91419,Siewert & Kau,DIGITUS Professional DN-91419 - patch panel - 1U - 10,digitus,7.79,10
R7WP7,macle,DELL R7WP7 Dell LightPulse 8GB Dual Ports Fibre PCI-E,dell,49.0,50
HSE661E,West Cost,BROTHER RUBAN 31MM THERMO RETRAC N/J,brother supplies,25.0,28
C9200-48T-E         ,Ingram,CATALYST 9200 48-PORT DATA     ,cisco               ,3301.8,37
FSP:GD3SG3Z00DESV1,macle,SP 3Y OS 24X7 8H REC,fujitsu,463.0,20
ICUSBROLLOVR,Siewert & Kau,StarTech.com Rollover Cable ICUSBROLLOVR - USB - 1.8 m,startech,26.5,22
331-4443,macle,DELL QLOGIC HBA 4GB SINGLE PORT PCI-E,dell,49.0,50
006R04235,techdata,"Everyday - Noir - compatible - cartouche de toner (alternative pour : HP CF244A) - pour HP LaserJet Pro M15a, M15w, M28a, MFP M28a, MFP M28w",xerox,28.23,1
EJS-00004,EET,Surface Ethernet Adapter,microsoft,36.6,18
PR350_3OS5P4H       ,Ingram,3Y NEXT BUS. DAY TO 5Y PROSPT  ,dell emc            ,621.32,9999
PRTHPCF402AG,Supplies24,ORIGINAL Prindo Toner Jaune PRTHPCF402AG Green ~1400 Seiten,prthpcf402ag,27.57,1
24.Q59N2.001,EET,THERMAL MODULE DIS W/FAN*2,acer,46.2,4
2P-AT913AA#AKD,psaparts,15,03/01/24,2.0,7
CON-3SNT-CBS110U8,Also,CISCO SmartNet 3SNT 8x5xNBD 3Y for CBS110-8T-D-EU,cisco,13.53,100
MPG X670E CARBON W,Copaco,MB MPG X670E CARBON WIFI,msi,391.98,8
5074C026,Difox,Canon PIXMA TR 4751i,canon,55.52,3
PROUSBAB15,EET,USB 2.0 ACTIVE CABLE A MALE - ,vivolink,34.9,200
P-PFRURAD128,Also,HP Poly Custom 1yr+ with FRU replace and destroy service for Studio XService price represents 40 percent,hp inc.,1005.27,100
JC96-05802A,eparts,TRANSFER BELT,hpinc,97.9,3
U1RS3PE,macle,EPACK 12 PLUS RNWL NBD EXCH 87,hewlett packard enterprise,3347.0,50
FSP:GD3S60Z00DEST6,macle,SP 3Y OS 9X5 4H RT,fujitsu,2033.0,50
H39N9E              ,Ingram,4Y TC BAS ML110 GEN10 SVC      ,hpe                 ,475.75,9999
45-647-216,Travion,HX Series Desk Monitor Arm - Pivot - Max 19Kg - up to 49inch -  white,ergotron,26.0,26
FSP:G-SWTO963PRV0I,macle,SP VERL.12M TS SUBundUPGR 24X7,fujitsu,1534.0,50
ALTHEA13W,Difox,Conceptronic ALTHEA13W Chargeur USB 30W 3-port,conceptronic,8.44,10
FCC7BMSHF-2M/R,Also,MCL CAT 7 S/FTP LSZH Patch cable - 2m Red,mcl-samar,3.68,14
SSC33-RSC0-CD11,macle,RNWL SCALAR I3 -25 SLOT NO TD,quantum,639.0,50
2P-451-11600,psaparts,3, ,2.0,39
MUXMS-00406,EET,"2.5"" SFF SATA/SAS HotSwap Tray",coreparts,13.8,49
AVR-S670H,Difox,Denon AVR-S670H noir,denon,383.16,10
CFQ7TTC0LH1X-000G-1J1M,terra computer,CSP Azure Active Directory Basic (Non-Profit Pricing) [1J1M],microsoft,0.22,100
CC528-69002,eparts,"FORMATTER, P2055DN/X REV J",hpinc,90.0,4
H53S5E,techdata,HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: R8N86A,hewlett packard enterprise,1027.0,9876
XMG1915-10EP-EU0101F,MCA,Zyxel XMG1915-10EP,zyxel,257.15,7
D9Y32AA#ABA,convena,HPI UltraSlim Docking Station 2013 - 65W EU Type..,hp inc.,89.94,2
0344B0,West Cost,SWP BALLON GYM + BANDE RESISTANCE NR,swedish posture,34.0,17
DN-19 12U-6/6-EC-SW,Siewert & Kau,DIGITUS Dynamic Basic DN-19 12U-6/6-EC-SW - rack - 12U,digitus,149.81,75
H7SE6E,techdata,"HPE Foundation Care Call-To-Repair Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 24x7 - délai de réparation : 6 heures - universitaire, pour les particuliers - pour P/N: JW633A, JW633AR, JW634A, JW634AR, JW637",hewlett packard enterprise,1875.0,9876
SS642A,West Cost,HP TONER C 20K CLT-M808S,office printing solutions,119.0,44
90 22 02 SB,Difox,KNIPEX TwistCut Coupe-tubes,knipex,21.48,10
5WS0V07793,techdata,Lenovo Premier Support with Onsite NBD - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour système avec 1 an de garantie sur site) - 3 années (à partir de la date d'achat originale de l'appareil) - sur site - temps de réponse : NBD - pour Th,lenovo,141.0,9876
U3SK9E,macle,EPACK 4YR NBD EXCH 7506 SWTC F,hewlett packard enterprise,6934.0,50
LIC-MX600-SEC-7YR,Also,CISCO Meraki MX600 Advanced Security,cisco,94921.66,100
5M11C53346,EET,Panther-1 FRU GRP KBD Bezel ,lenovo,234.0,7
47760,Also,LINDY Cat.6 S/FTP Cable Yellow 0.3m Patch Cable,lindy,1.37,13
,Difox,100x1 Varta Watch V 397 PU  Master box,varta,59.8,1
MU883ZM/A           ,Ingram,THUNDERBOLT 4 (USB-C) PRO CABLE,apple               ,55.6,26
038243,ecp,Peripheriques/AFFICHAGE DYNAMIQUE/6- Support pour écran,erard,225.0,1
NM-W60BLACK,Kosatec,Select Wandhalterung fr Bildschirme bis 30'' 25KG NM-W60BLACK Neomounts,newstar,12.75,3
CL-F135-PL12SW-A,Kosatec,12cm Thermaltake Toughfan 12 Radiator Fan 500-2000rpm - 3Pack,thermaltake,88.74,2
HV7A6PE             ,Ingram,HPE 1Y PW TC ESS WCDMR DL160   ,hpe                 ,1033.65,9999
HL1T4E              ,Ingram,EPACK 5Y FC 24X7 6200F 24G POE ,hpe                 ,1448.65,9999
TXIET0712,Supplies24,ORIGINAL Tonex Cartouche d'encre Cyan TXIET0712 T0712 ~345 Seiten,txiet0712,2.02,1
DS223J,Also,SYNOLOGY DS223J 2-Bay NAS RTD1619 1Go RAM,synology,162.49,5
0FFD6,EET,"460 Watts, Mini Tower, Delta ",dell,76.8,5
2PDPC3036UBBC12G,psaparts,4,03/01/24,2.0,5
01EN712,EET,Keyboard (US INTERNATIONAL),lenovo,98.1,2
V13H010L80,West Cost,EPSON LAMPE ELPLP80,epson hardware,69.0,35
5WS1J38560,techdata,"Lenovo Premium Care Plus - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour système avec 2 ans de garantie sur le transport ou le transport par coursier) - 2 années - sur site - temps de réponse : NBD - pour IdeaCentre AIO 3 22, 3 22IMB05, ",lenovo,167.0,9876
38046688,macle,SSD SATA 6G 480GB MIXED-USE 3.,fujitsu,377.0,1
U3TZ1E,macle,EPACK 1YR NBD EX CH 501 WR CL,hewlett packard enterprise,48.0,50
H1HN9E,macle,EPACK3YR FC24X7 ARU2530 24G PO,hewlett packard enterprise,477.0,50
2P-PA-1450-55LZ,psaparts,AC Adapter 19V 2.37A 45W includes power cable,2-power,46.51,6
HQ0W2E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 24x7 - temps de réponse : 4 h - Printing Tier 2 - pour P/N: JL259A#ABB, JL259A#AC3, JL259A#AC4, JL259A#ARE, JL259A#B2B, JL259A#B2C, JL259A",hewlett packard enterprise,271.0,9876
JZ094AAE,macle,ARUBAMERIDIANWHITELAB1YR-ESTOC,hewlett packard enterprise,18598.0,50
C540H1YG,West Cost,LEXMARK TONER J 2K RET,lexmark supplies,91.0,78
A8711887,EET,16 GB Certified Repl.,dell,229.2,1
ASSO-B-EPE-R3-AE,Also,ESET Association Protect Entry Renew 3 years 100-249p,eset,32.28,100
36644,Siewert & Kau,Lindy CROMO - USB cable - USB to USB Type B - 5 m,lindy,12.48,40
B-UTP5015R,EET,U/UTP CAT5e 1.5M Red PVC,microconnect,0.6,379
URC1915,Difox,One pour All Grundig TÃ©lÃ©commande            URC 1915,oneforall,13.12,1
WE009MI9TPRO,MGF,***WE Verre trempé XIAOMI MI 9T PRO,we,1.95,155
PWR-C5-1KWAC=,Travion,1KW AC Config 5 Power Supply,cisco systems,1.0,1
2024C001,Also,CANON 1LB INK PGI-580XL PGBK,canon,13.19,100
910-005448          ,Ingram,MX VERTICAL ADV ERGONOMIC MOUSE,logitech            ,90.76,139
49992,Difox,Verbatim Pochette papier CS/DVD Lot de 50,verbatim,1.93,10
H3DM5E,macle,EPACK 5YR FC NBD 7205 CTR TAA,hewlett packard enterprise,15253.0,50
TN135Y,PICATA,Toner TN135Y Haute capacité 4000p Jaune,brother,110.97,1
9TXK7,EET,"AC Adapter, 130W, 19.5V, 3 ",dell,29.1,275
01YP669,EET,Keyboard English US INT.,lenovo,55.5,4
848311-B71,EET,KYBD TP BL SE/FI,hp,114.6,2
105999-302,Jarltech,Zebra cleaning kit,zebra,23.49,69
VEL-OW64505,Secomp,VELCRO One Wrap 20x200mm 25p. rouge VEL-OW64505,velcro,5.22,70
10015357K           ,Ingram,Z-BAND ULTRASOFT 25X178MM      ,zebra               ,265.88,7
EG0450FCVBH,EET,450GB 6G SAS 10K rpm SFF,hewlett packard enterprise,199.2,1
GRU006WUK-SWITCH,EET,6-way UK Socket 2M White,microconnect,17.7,22
HY3R1E,techdata,HPE Pointnext Tech Care Essential Service - Support technique - pour HPE B-series SAN Extension Switch Fabric Vision - support téléphonique - 3 années - 24x7 - temps de réponse : 15 min,hewlett packard enterprise,5534.0,9876
HDWR21CEZSTA,macle,X300 HIGH PERF 12TB 256MB,toshiba,232.0,11
7S05002EWW,macle,LENOVO MICROSOFT WINDOWS REMOTE,lenovo,698.0,2
51B2000,Also,"Toner noir (2,5K)return program MS/MX317 417 517 617",lexmark,63.7,5
40AJ0135EU,Kosatec,"Lenovo ThinkPad Ultra Dock 135W L/T480/490/14/580/590/15, X280/290, P52s",lenovo,35.7,36
C1300-48FP-4X,techdata,Cisco Catalyst 1300-48FP-4X - Commutateur - C3 - Géré - 48 x 10/100/1000 (PoE+) + 4 x 10 Gigabit SFP+ - Montable sur rack - PoE+ (740 W),cisco,2154.11,12
MC-SFTP8010S,EET,CAT8.1 S/FTP 10m Black LSZH ,microconnect,17.1,96
CO-9051009-WW,Copaco,CORSAIR RX Series iCUE LINK RX120 120mmFan Single Fan,corsair,21.39,5
ISO01L,Octant,AF Isoclene - Bidon d'alcool isopropylique 1 Litre,afiso01l,14.31,6
0-CABUSBAGAL,MGF,Cable Adaptateur Heden USB Pour tablette GALAXY TAB 2 / Note,heden,1.62,309
DN-96321/9,Siewert & Kau,DIGITUS Professional DN-96321/9 - fiber-optic splice box - 1U - 19,digitus,78.48,19
HV6N0E              ,Ingram,HPE 4Y TC BAS DL325 GEN10 PLUS ,hpe                 ,1437.53,9999
U7CZ3E,techdata,"HPE Foundation Care Call-To-Repair Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: JL073A#ABB, JL073AR",hewlett packard enterprise,3208.0,9876
44X2451,macle,IBM HDD 450GB FC 15K E-DDM 4GBPS,ibm,59.0,6
H3AP6E,macle,EPACK 3YR PCA NBD 7010 CTR,hewlett packard enterprise,11507.0,50
90-MXBH40-A0UAYZ,Kosatec,1700 ASRock B660M-HDV DDR4,asrock,74.47,1
00P6130,macle,IBM INTEL ADAPTER 10/100/1000 BASE-TXT,ibm,59.0,3
977ED040000004      ,Ingram,K-RANGER CRADLE SINGLE SLOT    ,custom              ,60.41,1
43285,Difox,"1x5 Verbatim DVD-RW 4,7GB 4x Speed, Jewel box",verbatim,4.77,10
CF363A,EET,Toner Magenta Pages 5.000 508A,hp,228.1,1
875545-001,macle,HPE RISER PCA x16 x8 GRAPHICS,hewlett packard enterprise,59.0,25
U85W4E,techdata,"Electronic HP Care Pack Premium+ Onsite Support with Telemetry and Defective Media retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : NBD - pour Elite x360 1040 G11 Notebook, EliteBook 10",hp,171.0,9876
106R01480,Topus,095205753509,xerox supplies,90.0,6
5CB0Z69106,EET,Ironhide-2.0 INTEL FRU COVER ,lenovo,62.4,40
JC96-03800C,eparts,FUSER SCX-5530FN 220V,hpinc,64.9,1
VX89A031RAMBALL,EET,BALL D-SIZE 2.25,honeywell,47.8,5
3521452,Difox,Intenso Alu Line argent 4GB USB Stick 2.0,intenso,2.31,100
HP1G5E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 9x5 - temps de réponse : NBD - universitaire, pour les particuliers - pour P/N: JL072-61001, JL072A, JL072AR",hewlett packard enterprise,894.0,9876
H50H5E,techdata,"HPE Aruba Software+Technical Support - Support technique - 5 années - 24x7 - temps de réponse : 2 h - universitaire, pour les particuliers - pour P/N: JL817A, JL817AR",hewlett packard enterprise,761.0,9876
C13T09K14010,Supplies24,"ORIGINAL Epson Cartouche d'encre Noir(e) C13T09K14010 408L ~2200 Seiten 36,9ml",c13t09k14010,39.33,1
841197,Supplies24,ORIGINAL Ricoh Toner Cyan 841197 842472 / 842060 / MP C2550EC ~5500 Seiten,841197,72.18,1
1009975C24,terra computer,TERRA CLOUD PC-MINI 6000V6.1 i12400/16/COM/500/W11P inkl. VOS [24M],wortmann ag,25.94,100
9967B002,ecp,Peripheriques/Appareil photo numérique/Accessoire/Chargeur APN,canon,40.7,1
900402148,Difox,AEG AP 71UB14GG Ultimate 7000 Serie,aeg,255.0,4
EF-NX712PBEGWW      ,Ingram,GALAXY TAB S9 SPY PROTECTION   ,samsung             ,30.0,15
MSP2040,EET,"Cyan Toner , EU marked",coreparts,28.82,1
EAP215-BRIDGE KIT,terra computer,TP-LINK WLAN AC867 Access Point Dualband EAP215-Bridge KIT Long-range Indoor/Outdoor w/o PoE NT,tp-link,149.0,11
FTS:ETEN4HD,macle,FUJITSU NEARLINE - FESTPLATTE - 4 TB,fujitsu,114.0,10
U7QQ2E,techdata,"HPE Foundation Care Call-To-Repair Service with Comprehensive Defective Material Retention - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - délai de réparation : 6 heures - pour P/N: JG939A#AKJ, JG939A#AKL, JG939A",hewlett packard enterprise,1967.0,9876
2936B001,Kosatec,TIN Canon Tinte CLI-521Y 2936B001 Gelb,canon,8.04,10
APTHP343AE,EET,"Toner Magenta, CE343A,651A",agfaphoto,95.6,1
16D010371B,Jarltech,"Colormetrics module, Bluetooth + WLAN",colormetrics,45.07,41
LC221M,MGF,BROTHER cart JE magent J4120DW,brother,6.8,3
D30132,MGF,DICOTA Filtre de confidentialité Pour écran 24'' (16:9) Noir 2 vues D30132,dicota,84.55,30
00265969,Difox,1x12 Panasonic Pro Power LR 03 Micro AAA,panasonic,3.48,40
